T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.27092, 0.99], [0.54184, 0.01]], [[0.56855, 0.99], [1.1371, 0.01]], [[0.35379, 0.99], [0.70758, 0.01]], [[0.91382, 0.99], [1.82765, 0.01]], [[1.93789, 0.99], [3.87579, 0.01]], [[2.72557, 0.99], [5.45113, 0.01]], [[0.04018, 0.99], [0.08036, 0.01]], [[0.91198, 0.99], [1.82396, 0.01]], [[3.0431, 0.99], [6.08619, 0.01]], [[24.59706, 0.99], [49.19412, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[10, 0.01], [20, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.05544, 0.99], [0.11089, 0.01]], [[0.09816, 0.99], [0.19631, 0.01]], [[0.02713, 0.99], [0.05426, 0.01]], [[0.16756, 0.99], [0.33513, 0.01]], [[0.91442, 0.99], [1.82884, 0.01]], [[1.48185, 0.99], [2.96371, 0.01]], [[4.98334, 0.99], [9.96668, 0.01]], [[7.13329, 0.99], [14.26659, 0.01]], [[16.76736, 0.99], [33.53471, 0.01]], [[83.1603, 0.99], [166.3206, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[10, 0.01], [20, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.01692, 0.99], [0.03385, 0.01]], [[0.19852, 0.99], [0.39704, 0.01]], [[2.27268, 0.99], [4.54536, 0.01]], [[23.87219, 0.99], [47.74438, 0.01]], [[3.29644, 0.99], [6.59289, 0.01]], [[1.92079, 0.99], [3.84157, 0.01]], [[2.35945, 0.99], [4.7189, 0.01]], [[39.39511, 0.99], [78.79022, 0.01]], [[55.18101, 0.99], [110.36203, 0.01]], [[125.92683, 0.99], [251.85366, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[20, 0.01], [40, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.00903, 0.99], [0.01806, 0.01]], [[0.01512, 0.99], [0.03024, 0.01]], [[1.1973, 0.99], [2.39461, 0.01]], [[0.29009, 0.99], [0.58018, 0.01]], [[2.5447, 0.99], [5.0894, 0.01]], [[0.62009, 0.99], [1.24019, 0.01]], [[7.692, 0.99], [15.384, 0.01]], [[6.61578, 0.99], [13.23156, 0.01]], [[41.34961, 0.99], [82.69922, 0.01]], [[52.12393, 0.99], [104.24785, 0.01]]]

T=[[[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.63804, 0.99], [1.27608, 0.01]], [[2.4797, 0.99], [4.95941, 0.01]], [[1.89142, 0.99], [3.78284, 0.01]], [[3.00873, 0.99], [6.01746, 0.01]], [[7.7428, 0.99], [15.4856, 0.01]], [[9.22516, 0.99], [18.45031, 0.01]], [[26.21061, 0.99], [52.42122, 0.01]], [[14.01794, 0.99], [28.03587, 0.01]], [[52.57179, 0.99], [105.14357, 0.01]], [[48.31069, 0.99], [96.62138, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[1000, 0.01], [2000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.00571, 0.99], [0.01142, 0.01]], [[0.07934, 0.99], [0.15868, 0.01]], [[2.57144, 0.99], [5.14288, 0.01]], [[0.02933, 0.99], [0.05866, 0.01]], [[21.24272, 0.99], [42.48544, 0.01]], [[3.82064, 0.99], [7.64127, 0.01]], [[4.05296, 0.99], [8.10592, 0.01]], [[11.91074, 0.99], [23.82148, 0.01]], [[61.06816, 0.99], [122.13633, 0.01]], [[15.96246, 0.99], [31.92492, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[50, 0.01], [100, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.03235, 0.99], [0.0647, 0.01]], [[0.06461, 0.99], [0.12921, 0.01]], [[0.31973, 0.99], [0.63947, 0.01]], [[0.84109, 0.99], [1.68217, 0.01]], [[0.32455, 0.99], [0.64909, 0.01]], [[2.23431, 0.99], [4.46862, 0.01]], [[1.5908, 0.99], [3.1816, 0.01]], [[19.36814, 0.99], [38.73628, 0.01]], [[38.1914, 0.99], [76.3828, 0.01]], [[26.3678, 0.99], [52.7356, 0.01]]]

T=[[[2, 0.01], [4, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.23622, 0.99], [0.47245, 0.01]], [[0.0903, 0.99], [0.18059, 0.01]], [[0.72989, 0.99], [1.45977, 0.01]], [[0.22863, 0.99], [0.45726, 0.01]], [[1.2775, 0.99], [2.55499, 0.01]], [[0.24654, 0.99], [0.49309, 0.01]], [[4.22944, 0.99], [8.45888, 0.01]], [[0.95709, 0.99], [1.91417, 0.01]], [[10.29188, 0.99], [20.58375, 0.01]], [[18.41694, 0.99], [36.83388, 0.01]]]

T=[[[5, 0.01], [10, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.17831, 0.99], [0.35661, 0.01]], [[0.02219, 0.99], [0.04439, 0.01]], [[1.0278, 0.99], [2.0556, 0.01]], [[0.03883, 0.99], [0.07766, 0.01]], [[2.94459, 0.99], [5.88919, 0.01]], [[3.04597, 0.99], [6.09193, 0.01]], [[12.15209, 0.99], [24.30417, 0.01]], [[124.66297, 0.99], [249.32594, 0.01]], [[164.14872, 0.99], [328.29743, 0.01]], [[26.10671, 0.99], [52.21342, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[20, 0.01], [40, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.09783, 0.99], [0.19567, 0.01]], [[0.09138, 0.99], [0.18275, 0.01]], [[0.1109, 0.99], [0.2218, 0.01]], [[5.02208, 0.99], [10.04416, 0.01]], [[3.24037, 0.99], [6.48074, 0.01]], [[1.82394, 0.99], [3.64787, 0.01]], [[18.9141, 0.99], [37.8282, 0.01]], [[11.05416, 0.99], [22.10832, 0.01]], [[27.39379, 0.99], [54.78758, 0.01]], [[53.2438, 0.99], [106.48759, 0.01]]]

T=[[[2, 0.01], [4, 0.99]], [[2, 0.01], [4, 0.99]], [[2, 0.01], [4, 0.99]], [[2, 0.01], [4, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]]]
C=[[[0.22705, 0.99], [0.4541, 0.01]], [[0.06302, 0.99], [0.12604, 0.01]], [[0.12542, 0.99], [0.25084, 0.01]], [[0.1057, 0.99], [0.21139, 0.01]], [[31.02338, 0.99], [62.04677, 0.01]], [[5.94611, 0.99], [11.89223, 0.01]], [[31.44466, 0.99], [62.88932, 0.01]], [[0.7544, 0.99], [1.50881, 0.01]], [[15.40836, 0.99], [30.81672, 0.01]], [[8.26196, 0.99], [16.52393, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]]]
C=[[[0.00586, 0.99], [0.01173, 0.01]], [[0.04187, 0.99], [0.08375, 0.01]], [[0.268, 0.99], [0.53599, 0.01]], [[0.4959, 0.99], [0.99179, 0.01]], [[6.99256, 0.99], [13.98512, 0.01]], [[1.28034, 0.99], [2.56069, 0.01]], [[2.37186, 0.99], [4.74372, 0.01]], [[3.15521, 0.99], [6.31041, 0.01]], [[2.29751, 0.99], [4.59501, 0.01]], [[9.28106, 0.99], [18.56212, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[5, 0.01], [10, 0.99]], [[5, 0.01], [10, 0.99]], [[20, 0.01], [40, 0.99]], [[20, 0.01], [40, 0.99]], [[20, 0.01], [40, 0.99]], [[100, 0.01], [200, 0.99]], [[1000, 0.01], [2000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.00338, 0.99], [0.00676, 0.01]], [[0.07526, 0.99], [0.15053, 0.01]], [[0.28956, 0.99], [0.57912, 0.01]], [[0.02611, 0.99], [0.05221, 0.01]], [[1.3277, 0.99], [2.65541, 0.01]], [[2.5872, 0.99], [5.17441, 0.01]], [[0.85411, 0.99], [1.70822, 0.01]], [[2.20352, 0.99], [4.40705, 0.01]], [[184.79087, 0.99], [369.58175, 0.01]], [[112.94601, 0.99], [225.89203, 0.01]]]

T=[[[2, 0.01], [4, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.1262, 0.99], [0.2524, 0.01]], [[0.23306, 0.99], [0.46613, 0.01]], [[0.51829, 0.99], [1.03658, 0.01]], [[0.04758, 0.99], [0.09517, 0.01]], [[11.79279, 0.99], [23.58558, 0.01]], [[6.59415, 0.99], [13.1883, 0.01]], [[23.61724, 0.99], [47.23448, 0.01]], [[11.07224, 0.99], [22.14449, 0.01]], [[6.35977, 0.99], [12.71955, 0.01]], [[41.9143, 0.99], [83.8286, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.00526, 0.99], [0.01053, 0.01]], [[0.05991, 0.99], [0.11981, 0.01]], [[0.00986, 0.99], [0.01973, 0.01]], [[0.00896, 0.99], [0.01792, 0.01]], [[10.04685, 0.99], [20.09369, 0.01]], [[29.00148, 0.99], [58.00296, 0.01]], [[17.16112, 0.99], [34.32224, 0.01]], [[3.56394, 0.99], [7.12788, 0.01]], [[115.27636, 0.99], [230.55272, 0.01]], [[48.45122, 0.99], [96.90244, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[500, 0.01], [1000, 0.99]]]
C=[[[0.14775, 0.99], [0.29549, 0.01]], [[0.01489, 0.99], [0.02978, 0.01]], [[0.41011, 0.99], [0.82023, 0.01]], [[0.08916, 0.99], [0.17833, 0.01]], [[0.34647, 0.99], [0.69295, 0.01]], [[6.07334, 0.99], [12.14668, 0.01]], [[0.89053, 0.99], [1.78107, 0.01]], [[5.26983, 0.99], [10.53967, 0.01]], [[6.43301, 0.99], [12.86602, 0.01]], [[2.99233, 0.99], [5.98467, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.27174, 0.99], [0.54348, 0.01]], [[0.00607, 0.99], [0.01213, 0.01]], [[0.43214, 0.99], [0.86427, 0.01]], [[0.0037, 0.99], [0.0074, 0.01]], [[0.84954, 0.99], [1.69908, 0.01]], [[0.17516, 0.99], [0.35032, 0.01]], [[13.80403, 0.99], [27.60806, 0.01]], [[16.41943, 0.99], [32.83886, 0.01]], [[1.13074, 0.99], [2.26148, 0.01]], [[82.2092, 0.99], [164.41839, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[5, 0.01], [10, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.01852, 0.99], [0.03704, 0.01]], [[0.03086, 0.99], [0.06172, 0.01]], [[0.83133, 0.99], [1.66266, 0.01]], [[0.32539, 0.99], [0.65079, 0.01]], [[0.4157, 0.99], [0.8314, 0.01]], [[1.3394, 0.99], [2.67881, 0.01]], [[6.36138, 0.99], [12.72276, 0.01]], [[47.15391, 0.99], [94.30782, 0.01]], [[4.67444, 0.99], [9.34887, 0.01]], [[2.00172, 0.99], [4.00344, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[5, 0.01], [10, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]]]
C=[[[0.1883, 0.99], [0.37661, 0.01]], [[0.00627, 0.99], [0.01255, 0.01]], [[0.4213, 0.99], [0.8426, 0.01]], [[0.77981, 0.99], [1.55963, 0.01]], [[0.05335, 0.99], [0.10671, 0.01]], [[5.49858, 0.99], [10.99716, 0.01]], [[4.77083, 0.99], [9.54165, 0.01]], [[7.71337, 0.99], [15.42673, 0.01]], [[3.56004, 0.99], [7.12008, 0.01]], [[11.86817, 0.99], [23.73633, 0.01]]]

